"","id","created_time","snippet","headline"
"1",1,"2025-10-14T09:01:19Z","With federal subsidies ending or becoming hard to claim, companies are racing ahead with solar, wind and battery projects.","Renewable Energy Is Booming Despite Trump’s Efforts to Slow It"
"2",2,"2025-10-16T04:00:08Z","Orsted, a Danish wind farm developer, has been hammered by high costs and President Trump’s efforts to stymie renewable energy. Its struggles are rippling across Denmark.","Prospects Dim for Denmark’s Renewable Energy Star"
"3",3,"2025-11-20T22:38:55Z","The reorganization reflects the ongoing shift in the federal government’s energy priorities: less renewable energy, more fossil fuels.","A Trump Overhaul of the Energy Dept. Breaks Up Clean Energy Offices"
"4",4,"2025-07-10T19:28:55Z","Days after the passage of a sprawling domestic policy bill, the Trump administration announced moves that could further hamstring renewable energy.","Trump May Not Be Done Overhauling Renewable Energy"
"5",5,"2026-03-20T04:01:16Z","Pedro Sánchez, Spain’s prime minister, said the nation’s renewable energy system has softened the financial fallout from the war in Iran. The story is more complex.","Spain Says the Sun Shields It From Rising Gas Costs. Is That True?"
"6",6,"2025-04-29T17:14:00Z","The Iberian Peninsula’s widespread blackout raises questions about the resilience of the electric power infrastructure in the two countries — and to an extent, the rest of Europe.","How Spain’s Success in Renewable Energy May Have Left It Vulnerable"
"7",7,"2026-03-26T09:00:36Z","Renewable energy leaders said their industry got “rolled” in President Trump’s tax bill. Now they’re fighting back, starting in Texas.","Wealthy Investors Are Targeting Foes of Clean Energy, and They Want Revenge"
"8",8,"2025-08-07T09:02:14Z","Federal agencies have recently issued a barrage of restrictions that could halt construction of solar and wind farms on public and private lands.","Suddenly, the Trump Administration Tightens the Vise on Wind Farms"
"9",9,"2026-03-27T09:02:20Z","When the world map of literal power changes, the political hierarchy shifts, too.","The Iran War Is Revealing the Messy Middle of Our Renewable Energy Transition"
"10",10,"2025-05-14T09:01:51Z","Despite soaring power demand, Republican lawmakers in the Texas Legislature are pushing to rein in renewable energy, part of a national wave of Trump-era opposition.","Renewable Energy Is Booming in Texas. Republicans Want to Change That."
"11",1,"2025-10-07T18:50:53Z","The world generated more electricity from renewable energy than coal for the first time ever, a new report finds. The United States is lagging behind.","Early Signs of a ‘Turning Point’ as Renewables Edge Out Coal"
"12",2,"2026-03-04T21:22:20Z","The battle to lower costs has reached the State Capitol, where concerns have emerged about the fate of a 2019 climate law and its ambitious goals to reduce greenhouse gas emissions.","As New York Energy Costs Surge, Attention Turns to Landmark Climate Law"
"13",3,"2025-04-02T18:23:39Z","The components used to assemble wind turbines are made by suppliers around the globe.","Tariffs Are Likely to Hit U.S. Renewable Energy"
"14",4,"2026-02-28T05:00:10Z","Developers are using a new geothermal technology in Germany to produce clean energy.","To Extract Hot Water From the Earth, a Plan to Pipe It In First"
"15",5,"2026-01-12T10:02:03Z","The president’s embrace of fossil fuels and withdrawal from the global fight against climate change will make it hard to keep warming at safe levels, scientists said.","Under Trump, U.S. Adds Fuel to a Heating Planet"
"16",6,"2025-07-01T17:23:29Z","","The final Senate version of the tax and policy bill changed some provisions on renewable energy."
"17",7,"2025-09-09T00:00:08Z","Its vast investment in solar, wind and batteries is on track to end an era of global growth in the use of coal, oil and gas, the researchers said.","‘China Is the Engine’ Driving Nations Away From Fossil Fuels, Report Says"
"18",8,"2025-09-18T07:58:24Z","While renewable energy is broadly popular in both countries, the policies of the Trump and Starmer governments could not be more different.","America and Britain Are Worlds Apart on Energy Policies, Except Nuclear"
"19",9,"2026-01-26T23:12:43Z","A warmer atmosphere has the potential to hold more moisture, which can contribute to heavier precipitation in any season, scientists say.","How Does Climate Change Affect Winter Storms?"
"20",10,"2026-03-10T04:01:05Z","More solar energy was added to U.S. grids than any other technology, but the amount installed fell by 14 percent, according to a new report.","U.S. Solar Installations Fell in 2025 as Trump Attacked Clean Energy"
"21",1,"2026-03-28T09:01:00Z","Offshore wind is out. Geothermal power is in. And many climate technology start-ups are looking for ways to carry on without federal backing.","How Clean Energy Firms Are Trying to Survive the Trump Era"
"22",2,"2025-04-11T18:07:15Z","Ann Arbor, Mich., moved forward with an ambitious plan to build its own utility that aims to provide clean power outside the grid.","Ann Arbor Wants to Build Its Own Renewable-Energy Grid"
"23",3,"2025-11-09T13:25:12Z","“Ask a Correspondent” will take your questions to Somini Sengupta, our international climate reporter.","What Questions Do You Have About Climate Change?"
"24",4,"2025-05-02T17:57:42Z","","Trump’s plan proposes sweeping cuts to climate and renewable energy programs."
"25",5,"2025-04-17T20:28:00Z","The shift to cleaner power needs resources from China. An export ban just cut off some supplies.","Here’s What to Know About Rare Earth Minerals and Renewable Energy"
"26",6,"2025-10-09T11:31:20Z","Battered by delays, higher costs and attempts by the Trump administration to block its projects in the United States, the Danish company is retreating to its base in Europe.","Troubled Wind Developer Orsted to Cut 25% of Staff"
"27",7,"2025-11-12T00:52:05Z","The California governor painted the president as a threat to American competitiveness by letting China dominate the renewable energy industry.","Newsom in the Spotlight at the Climate Conference That Trump Decided to Skip"
"28",8,"2025-09-05T09:01:55Z","Activists are hoping to recreate the magic of 1970’s Earth Day — at a moment when the movement’s future is cloudier than ever.","The Old Climate-Activism Playbook No Longer Works. What Else Can?"
"29",9,"2026-02-04T17:12:54Z","Federal agencies are delaying approvals for renewable energy projects on both federal land and private property at a time when electricity demand is going up.","A Trump ‘Blockade’ Is Stalling Hundreds of Wind and Solar Projects Nationwide"
"30",10,"2025-07-11T21:57:03Z","Stripping hundreds of millions of dollars from renewable energy and efficiency initiatives is part of a broader move to undo efforts to wean the United States off fossil fuels.","Energy Department to Gut Funding for Solar and Wind Projects"
"31",1,"2026-01-02T11:00:11Z","A New York Times series looked at initiatives to tackle climate change in each U.S. state.","50 States, 50 Fixes"
"32",2,"2026-03-31T19:28:25Z","A growing energy crisis could push countries to burn more fossil fuels in the short term, experts say. Plus more climate news.","Will the Iran Crisis Push the World to Rethink Oil and Gas?"
"33",3,"2026-03-11T09:02:21Z","The oil crisis in the Middle East could spur countries to invest in wind, solar and other renewables. It could also spike reliance on coal, a cheap and polluting fossil fuel.","How War in Iran Could Remake the Global Energy Landscape"
"34",4,"2025-12-09T20:50:54Z","An E.P.A. site listing the causes of climate change no longer includes the main one: human activity.","E.P.A. Erases Mention of Humans Causing Climate Change From Some Web Pages"
"35",5,"2026-03-26T20:01:17Z","The latest from a closely watched gathering of energy industry executives, a rare look at a whale birth and more news.","What the Energy Industry Is (and Isn’t) Saying About the War in Iran"
"36",6,"2026-02-25T05:00:15Z","Having reshaped the company, Sultan Ahmed Al Jaber wants to expand internationally, particularly in natural gas, chemicals and renewables.","Abu Dhabi’s State Oil Company Looks Beyond Oil"
"37",7,"2025-05-21T18:50:45Z","The Inflation Reduction Act was once hailed as the biggest climate law in U.S. history. But as supporters try to save it, they’ve stopped talking about the environment altogether.","Don’t Mention Climate: Now, Clean Energy Is All About the Money"
"38",8,"2025-09-23T18:08:14Z","In a remarkable United Nations address, the president lashed out at wind turbines, environmentalists and allies around the world while dismissing the dangers of climate change.","Trump to World: Green Energy Is a Scam and Climate Science Is From ‘Stupid People’"
"39",9,"2025-12-09T19:04:45Z","The solar company Sunrun has managed to thrive despite President Trump’s crackdown on renewable energy, offering what it calls “energy as a service.”","A Rare Bright Spot for U.S. Solar: Subscriptions"
"40",10,"2025-10-10T04:00:10Z","China is using the high-altitude expanse for immense solar panel farms and wind turbines and has begun work on the world’s largest hydroelectric dams.","Why China Built 162 Square Miles of Solar Panels on the World’s Highest Plateau"
"41",1,"2025-07-22T14:37:29Z","In a speech on renewable energy, António Guterres cited “clear market distortion” in favor of fossil fuels by President Trump and others but called the transition to cleaner energy economically inevitable.","U.S. Is Missing the Century’s ‘Greatest Economic Opportunity,’ U.N. Chief Says"
"42",2,"2026-02-11T17:24:19Z","Twenty four states are now considering legislation to allow small, plug-in solar power systems that connect directly into a wall socket.","States Weigh Bills to Allow You to Make Your Own Electricity"
"43",3,"2025-10-30T09:00:05Z","Not all states have gotten hit equally hard. The reasons are complex.","Why the Price of Electricity Is Spiking Around the Country"
"44",4,"2025-09-24T19:08:16Z","President Xi Jinping told a U.N. climate summit that China will reduce emissions across its economy, expand renewables sixfold and make electric cars “mainstream.”","China for First Time Promises to Reduce Its Greenhouse Gas Emissions"
"45",5,"2025-10-07T04:00:13Z","Hoping to help grid operators adapt to changes buffeting the power markets, TotalEnergies is assembling a portfolio of battery farms and natural-gas-fired power plants.","France’s Energy Giant Sees Opportunity in the Volatile Electricity Market"
"46",6,"2025-09-24T22:57:19Z","In a day of live journalism, California’s governor assailed President Trump, and the U.S. energy secretary called for countries to quit the Paris Agreement on global warming.","At a Times Event, Opposing Views on Climate Change Collide"
"47",7,"2025-08-15T19:57:25Z","The move comes as the Trump administration has issued a barrage of new restrictions on renewable energy across the country.","I.R.S. Makes It Harder for Wind and Solar Projects to Claim Tax Breaks"
"48",8,"2025-08-11T14:29:30Z","Shares of the Danish renewable energy developer tumbled after it said it would issue more stock to raise funds instead of divesting a stake in a wind farm off the U.S. coast.","As Trump Curbs Wind Farms, Orsted Plans $9.4 Billion Share Offering"
"49",9,"2026-01-14T14:08:29Z","The British government provided guaranteed electricity prices to a group of wind farm developers in what it says is an effort to bring down power costs for consumers.","Britain Awards Wind Farm Contracts That Will Power 12 Million Homes"
"50",10,"2025-09-24T19:10:04Z","On Wednesday in New York, countries lined up to say they would accelerate their efforts to cut greenhouse-gas emissions. In staying away, the U.S. was all but alone.","At Global Climate Summit This Week, U.S. Isolation Was on Full Display"
"51",1,"2025-02-12T17:37:31Z","Federal regulators approved a proposal from the nation’s largest grid operator that will give primacy to 50 new power plants, a decision to help meet the country’s growing electricity demand.","Natural Gas Could Get Priority Over Renewable Energy in Largest U.S. Grid"
"52",2,"2025-10-17T14:51:36Z","Federal workers who issue permits for oil, gas and mining operations are on the job, along with those working to repeal pollution limits.","The Government Is Shut Down. But Not for Fossil Fuels."
"53",3,"2026-01-22T22:41:51Z","Many of the cancellations had been known for months, but the announcement underscored the drastic change in the energy landscape under President Trump.","Energy Dept. Says It Is Canceling $30 Billion in Clean Energy Loans"
"54",4,"2025-11-10T16:15:56Z","At this year’s climate summit, the United States is out and Europe is struggling. But emerging countries are embracing renewable energy thanks to a glut of cheap equipment.","A Flood of Green Tech From China Is Upending Global Climate Politics"
"55",5,"2025-07-17T21:04:11Z","Industry groups said the directive could create new delays and bottlenecks for renewable energy projects across the country.","Interior Dept. to Put Wind and Solar Projects Through Stricter Political Review"
"56",6,"2026-03-09T08:06:39Z","Josh Payne, the chief executive of Nscale, raised $2 billion from investors. Sheryl Sandberg, the former Facebook executive, is joining his board.","The Former Coal Miner in the Middle of the A.I. Data Center Boom"
"57",7,"2025-11-16T21:04:29Z","You asked Somini Sengupta, our international climate reporter, about the science and the politics. She responded from COP30 in Brazil.","Your Questions About Climate Change, Answered"
"58",8,"2026-01-30T19:01:00Z","A group that monitors the U.S. electricity system warns that grid reliability is “worsening” and blackout risks are rising for millions of people.","Grids Are Surviving the Storm. But the Next 5 Years Could Be Rough."
"59",9,"2025-12-11T08:00:10Z","Faced with an affordability crisis and rising energy demands, Gov. Kathy Hochul has slowed progress on New York’s efforts to fight climate change.","New York Was a Leader on Climate Issues. Under Hochul, Things Changed."
"60",10,"2026-03-09T09:02:08Z","The war in the Middle East has sent prices soaring, showing how much the world continues to depend on reliable supplies of oil and gas.","‘The Old Game Is Back’: Oil Is a Potent Geopolitical Tool Again"
"61",1,"2026-02-03T19:42:46Z","Even as American automakers have scaled back their ambitions for electric vehicles, some are pivoting to a technology that could help boost renewable energy.","Why U.S. Car Companies Want to Make Giant Batteries"
"62",2,"2026-01-17T05:01:15Z","The batteries offer an affordable system for those who lack reliable power and the money to buy their own solar panels.","$2 Rental Batteries Are Helping to Power South Africa"
"63",3,"2025-01-30T08:00:11Z","Community solar projects allow subscribers to benefit from the renewable energy source even without installing solar panels.","A Way of Sharing Solar Power’s Benefits Is Thriving. Trump May End It."
"64",4,"2026-03-20T16:35:46Z","The proposal, currently being considered by the Legislature during budget talks, would put off regulations for enforcing the law until 2030.","Hochul Moves to Delay and Alter Climate Law, Citing Energy Prices"
"65",5,"2025-10-14T20:43:24Z","As President Trump tries to revive the United States coal industry, research has found that closing a coal facility can improve local health.","A Coal-Processing Plant Closed. Local E.R. Visits Dropped Sharply."
"66",6,"2025-11-18T05:00:05Z","Recent oil and gas deals in Europe suggest that the growing demand for energy may be leading companies to adopt a more pragmatic approach.","Energy Companies Turn to Fossil Fuels, 10 Years After Climate Pact"
"67",7,"2026-03-29T09:00:54Z","The U.S. and other exporters are poised for a windfall, but disruptions to Persian Gulf supplies are also pushing gas-buying countries to consider alternatives like coal, solar and nuclear energy.","Why the Iran War May Force Countries to Rely Less on Natural Gas"
"68",8,"2026-03-26T01:10:06Z","Senator Chuck Schumer of New York, the minority leader, said Democrats would pursue an agenda to reduce energy costs if they win back control of Congress.","Schumer Says Democrats Will Try to Restore Clean Energy Tax Credits"
"69",9,"2025-11-19T01:59:02Z","A tribally owned network of chargers will soon be complete, connecting reservations and bridging a gap in the Midwest.","Driving an E.V. Across North Dakota? Thank the Standing Rock Tribe."
"70",10,"2025-03-17T09:00:38Z","Renewable energy companies are shifting strategy under President Trump, emphasizing the economic benefits of low-carbon electricity.","Want Cheap Power, Fast? Solar and Wind Firms Have a Suggestion."
"71",1,"2026-02-05T18:35:12Z","In Mississippi, neighbors of a Chevron plant worry that an influx of Venezuelan oil could increase pollution. They want the company to pay to move them out.","When Venezuelan Oil Comes to the U.S."
"72",2,"2026-03-14T04:00:07Z","Beijing’s decades-long push to reduce its dependence on foreign oil with huge investments in clean energy sources like electric vehicles is now paying off.","China’s Edge in an Oil Shock: Electric Cars and Renewables"
"73",3,"2026-03-16T07:00:22Z","A 339-mile buried transmission line is on schedule to bring clean electricity to New York City this spring.","Hydropower Line From Quebec to Queens Could Power a Million N.Y.C. Homes"
"74",4,"2025-09-10T15:52:12Z","Chris Wright, the energy secretary, said he would push Europe to loosen environmental rules and buy more gas. Doug Burgum, the interior secretary, tied fossil fuels to a need to win the A.I. race.","Climate ‘Ideology’ Hurts Prosperity, Top U.S. Officials Tell Europeans"
"75",5,"2025-11-12T12:06:31Z","China is equipping other countries to fight climate change. It’s a role reversal.","China’s Green Triumph"
"76",6,"2025-10-29T14:42:43Z","It needs the United States for defense and has spent billions building factories in America. But a Trump trade deal this week with China could erase a Korean edge in the U.S. market.","As China and U.S. Split Over Energy, Korea Is Stuck in the Middle"
"77",7,"2025-09-06T01:01:50Z","Chris Wright, who travels to Europe next week to promote American gas, called climate change “not incredibly important.”","Energy Secretary Attacks Offshore Wind and Dismisses Climate Change"
"78",8,"2025-09-04T20:49:05Z","On Sept. 24, The Times will host leaders, policymakers and executives in frank discussions about a consequential year in the fight against climate change.","The Climate Forward Conference Is Coming Soon"
"79",9,"2025-09-16T19:30:08Z","Ahead of the Climate Forward conference on Sept. 24, Times readers sent us their most urgent questions about climate change.","Your Most Pressing Climate Questions"
"80",10,"2026-02-25T03:14:44Z","","“American natural gas production is at an all-time high because I kept my promise to drill, baby, drill.”"
"81",1,"2025-12-10T01:55:42Z","The state has become a hub of innovation for creating electricity using geothermal power. Just don’t call it renewable.","Not All Drilling in Texas Is About Oil"
"82",2,"2025-12-05T10:00:25Z","An early grid battery was installed in the Atacama Desert in Chile 15 years ago. Now, as prices have tumbled, they are increasingly being used around the world.","Once a Gamble in the Desert, Electric Grid Batteries Are Everywhere"
"83",3,"2025-12-22T15:08:57Z","The sweeping changes have affected everything from coal plant retirements to international diplomacy over shipping emissions.","How Trump’s First Year Reshaped U.S. Energy and Climate Policy"
"84",4,"2025-08-15T09:01:44Z","Here’s what states need to do: Buy renewables now while the discount is still available.","Quick! Get the Wind and Solar Discounts Before It’s Too Late!"
"85",5,"2025-11-04T14:00:12Z","The annual U.N. report card finds that, overall, countries are still far off-track from their stated goals to limit global warming.","U.N. Sees Slight Progress on Climate Action, Partly Offset by the U.S."
"86",6,"2026-02-12T19:40:15Z","A Times correspondent talks about life in China as it outpaces the United States in developing clean energy technology, self-driving cars and other innovations.","Why Living in China Is Like ‘Living in the Future’"
"87",7,"2025-08-27T22:54:20Z","The full weight of a 50 percent tariff on Indian goods took effect this week, undercutting one of the country’s most promising markets for solar exports.","A Casualty of Trump’s Tariffs: India’s Nascent Solar Industry"
"88",8,"2025-09-19T19:27:15Z","We asked heads of state how they’re steering their countries as America retreats.","Muhammad Yunus, Chief Adviser of Bangladesh, on Getting Squeezed by Rising Tides"
"89",9,"2025-09-18T09:00:48Z","Laos is just one of the emerging markets where China’s green-tech revolution is installing more than cheap energy.","What Will China’s Green-Tech Ambitions Cost the World?"
"90",10,"2025-09-24T16:29:12Z","","An Australian magnate’s challenge to Trump: ‘Come see what’s happening to my land.’"
"91",1,"2025-09-27T12:00:03Z","Reliance on fossil fuels is almost unavoidable — at least for now.","Why Don’t Data Centers Use More Green Energy?"
"92",2,"2025-10-11T04:00:08Z","China is building a network of ultrahigh-voltage power lines to carry solar and wind energy hundreds and even thousands of miles as few citizens dare to protest.","How China Powers Its Electric Cars and High-Speed Trains"
"93",3,"2025-08-26T14:45:14Z","Overproduction in China has led to slashed prices, and buyers on the continent are taking advantage to sharply increase investments in clean energy.","China Finds Buyers for Surplus Solar: Africa’s Energy-Hungry Countries"
"94",4,"2025-04-03T20:17:48Z","A new wave of tariffs could raise costs for energy producers, including oil and gas companies, as well as solar and wind firms.","Trump’s Tariffs Could Threaten His ‘Energy Dominance’ Agenda"
"95",5,"2026-01-22T19:58:14Z","The annual gathering of top business leaders and policymakers used to be a center of the global climate movement. Things are much more complicated now.","At Davos, Talk of Climate Change Retreats to the Sidelines"
"96",6,"2025-09-18T11:13:13Z","Once, the Trump administration merely downplayed the threat of global warming. Now it flatly denies the science.","The Trump Administration Is Dismantling Climate Policies"
"97",7,"2025-08-29T19:23:20Z","The Trump administration’s campaign against wind power continued as it targeted funding for marine terminals and ports to support development of the industry.","Transportation Dept. Cancels $679 Million for Offshore Wind Projects"
"98",8,"2025-08-26T20:25:19Z","Across the country, unmasked wildfire fighters are falling ill and dying. Hannah Dreier talks about her investigation into the risks these workers face.","On the Front Lines of Climate Change, Firefighters Are Getting Very Sick"
"99",9,"2025-10-16T00:08:05Z","Ten members of Congress wrote in a letter to the governor that a gas pipeline proposed for New York Harbor runs counter to the state’s emissions reductions goals.","N.Y. Democrats Urge Hochul to Reject Pipeline Over Climate Concerns"
"100",10,"2025-07-01T19:49:28Z","Republicans’ tax and policy bill could give China a bigger lead in the race to develop renewable energy technologies.","Trump’s Policy Bill Could Put the U.S. Further Behind China"
"101",1,"2025-07-03T19:27:16Z","Beijing must be delighted by how the U.S. is surrendering the future of electricity to it.","How Trump’s ‘Big, Beautiful Bill’ Will Make China Great Again"
"102",2,"2025-11-01T04:01:13Z","Developers have finally broken ground on the project, known as Sizewell C, but getting there meant navigating wary investors and local opposition.","How Britain Got Investors to Line Up for Nuclear Power"
"103",3,"2025-07-16T09:01:31Z","They’re typically far more efficient than other systems and may save you some dollars.","Should You Get a Heat Pump? Take Our 2-Question Quiz."
"104",4,"2025-08-22T23:04:50Z","The order to stop construction on Revolution Wind off the coast of Rhode Island is part of a campaign against renewable energy.","Trump Administration Orders Work Halted on Wind Farm That Is Nearly Built"
"105",5,"2025-09-20T09:02:20Z","Fifty-five years after the first Earth Day, climate activists organized a nationwide celebration of solar power.","Sunday Was Also Sun Day"
"106",6,"2025-09-24T14:15:18Z","","Does the environmental movement need to change its strategy?"
"107",7,"2025-10-26T09:01:05Z","The state has become a stronghold for President Trump. Now, his efforts on trade, energy and immigration are squeezing farmers, disrupting labor and threatening industries.","In Trump-Friendly Iowa, the President’s Policies Have Hit Hard"
"108",8,"2025-09-27T09:02:34Z","Business leaders and trade organizations have been especially worried by attempts to stop work on wind farms that had already secured federal approval.","Unexpected Critics of Trump’s Attacks on Wind Energy: Oil Executives"
"109",9,"2026-02-12T10:03:23Z","The company, long focused on cars and trucks, plans to begin manufacturing large batteries used by utilities, data centers, other businesses and homeowners.","Stuck With an Empty Factory, Ford Seeks a New Market"
"110",10,"2026-03-03T10:05:54Z","So far, the energy price shocks have been relatively contained. But a prolonged conflict in the Middle East carries enormous economic risks.","Trump Bets That ‘Energy Dominance’ Will Make War in Iran Less Costly"
